943 844
767 273 -437
515 732 -781
239 157 225
77 135 -6
791 15 -780
34 269 525
123 820 448
490 674 -576
405 408 -634
329 533 977
601 772 -508
218 792 -188
441 75 -905
837 117 550
769 181 -303
758 700 100
18 261 81
451 539 127
788 834 200
469 907 156
718 920 -950
468 643 -343
542 145 -65
863 93 978
11 245 394
139 358 243
269 381 890
250 428 222
388 913 -443
13 299 907
225 237 -868
210 896 -797
588 409 424
812 646 -966
822 449 -656
145 652 871
255 925 -17
13 380 -213
11 119 77
465 549 -487
399 401 -103
479 422 -28
494 87 479
113 112 -856
197 321 114
265 710 -452
397 656 259
184 871 -222
168 490 726
588 32 873
214 317 -874
459 645 -460
903 195 659
534 660 1
450 272 -413
716 134 -735
828 489 -725
439 902 -169
337 187 427
598 134 626
136 774 549
343 462 69
721 890 909
371 282 -928
933 79 922
690 940 330
527 852 -711
453 939 -517
176 295 -95
886 917 -275
639 228 35
314 686 -870
194 413 -71
116 140 217
592 722 860
629 914 -30
362 173 97
534 135 485
647 134 109
681 738 94
366 634 -750
797 408 645
683 678 -268
15 109 -570
760 567 -658
563 498 -783
156 398 -836
698 285 -719
819 794 810
161 18 -97
373 933 -443
357 877 -125
576 248 548
366 439 208
168 158 -892
183 357 -887
899 406 323
132 535 987
470 859 337
413 636 399
792 763 -175
145 398 -40
455 246 251
333 93 -841
733 303 -723
476 773 442
277 524 438
754 910 -420
654 647 -178
136 579 -13
484 718 -316
695 865 626
395 311 -927
273 579 628
231 243 453
320 447 -599
787 651 769
887 644 606
418 721 -635
4 879 595
924 608 -571
758 176 -321
99 924 -97
570 426 -289
556 370 -351
196 249 61
653 117 -810
483 348 48
516 699 878
516 430 814
704 300 678
229 580 942
444 539 -411
316 577 330
296 513 -114
472 701 -122
336 909 421
821 396 -286
623 424 193
394 833 -60
872 475 35
526 685 -498
438 334 -844
263 588 931
650 879 434
508 408 114
21 655 -27
632 233 770
745 11 -857
327 756 -273
759 480 -46
293 545 692
19 313 14
505 318 -556
928 908 -196
257 495 -75
103 732 -69
163 129 413
81 177 -281
795 663 88
189 703 124
303 510 -101
587 124 380
167 152 -200
602 887 -64
930 446 72
77 168 -742
714 842 854
885 367 -715
46 199 -819
366 325 390
107 405 700
844 322 787
499 325 -289
795 937 780
626 878 9
892 390 -239
248 462 614
828 738 52
88 61 -468
269 795 239
89 228 581
615 276 -352
281 671 260
816 363 -540
325 323 734
371 931 602
921 229 855
557 365 38
126 808 982
139 271 -570
887 120 -322
172 909 872
741 579 -196
379 136 518
208 745 -412
136 291 -539
255 52 158
106 586 -914
11 403 -712
912 413 428
349 393 -162
419 166 758
809 573 -911
788 881 231
95 26 791
527 156 -135
604 847 -367
131 691 583
41 463 -113
311 596 58
378 344 -764
810 367 511
715 338 457
380 801 -547
743 390 972
583 92 82
309 915 -326
637 819 268
474 138 696
751 361 -621
656 784 371
183 918 618
297 919 -933
400 774 625
500 92 -282
349 921 911
364 298 131
479 890 739
474 310 948
392 168 -824
548 659 241
535 408 -719
635 328 -173
583 468 -727
416 938 597
491 814 157
917 384 -621
943 861 564
483 663 -865
373 173 536
376 24 -369
344 550 -607
25 186 749
516 425 -324
30 162 183
648 676 -868
250 523 -566
503 571 72
276 127 -926
887 191 940
356 64 589
662 452 -936
229 639 790
300 924 -311
88 868 -200
478 924 -673
744 384 -328
744 820 333
320 924 -174
941 845 -258
81 240 215
587 669 -830
154 190 -314
278 691 -304
687 407 -855
7 28 -558
536 770 744
75 626 -849
670 838 -145
237 683 217
75 572 60
343 486 556
438 348 -152
78 253 554
178 473 -339
515 130 53
322 83 -29
780 22 -164
8 894 -283
635 336 -823
855 705 427
52 457 -421
46 228 -132
755 42 790
56 860 792
462 379 -457
300 453 -162
937 99 -961
928 919 -427
267 715 944
220 315 40
312 65 667
364 700 73
838 746 -803
53 196 898
507 717 -90
326 65 -621
140 733 143
396 186 551
593 27 -90
592 74 257
497 141 50
5 360 509
397 862 520
645 36 621
532 582 -41
789 899 625
705 35 -18
583 48 -453
736 448 868
938 634 567
529 578 363
383 745 -239
827 21 -254
920 263 -904
166 520 548
120 382 323
488 766 -736
78 214 506
205 523 -110
692 317 832
405 365 535
943 523 507
360 175 -736
408 935 -713
51 100 533
634 567 -107
446 649 -698
43 384 -981
130 580 200
849 938 767
475 344 -339
734 750 431
489 857 770
722 517 -328
346 497 -683
311 121 532
568 559 112
16 173 592
482 492 -272
416 659 993
932 550 -541
608 896 -114
383 102 -923
72 59 896
664 197 581
324 117 227
743 923 867
730 829 -786
592 81 175
182 48 154
342 811 497
482 536 830
165 875 -394
779 318 -632
412 246 -740
738 853 -752
741 216 -625
851 726 -190
64 586 -15
621 691 -153
213 558 -981
632 166 -787
656 104 -844
151 908 644
821 253 -831
338 17 444
408 240 143
423 924 453
692 685 449
573 328 926
387 423 947
515 180 -858
348 56 161
246 659 -158
248 399 -353
759 639 21
702 900 423
437 277 721
810 889 928
163 426 -154
737 286 -738
619 77 615
711 387 -375
939 554 -39
856 220 354
858 103 551
758 459 886
157 607 -245
868 300 300
845 167 357
161 326 544
118 938 -459
583 527 -592
695 575 -23
268 472 570
738 222 -728
348 102 765
379 417 171
464 491 520
468 615 -35
706 35 -351
540 362 -544
890 386 -143
852 733 -138
454 198 -898
412 735 -911
576 478 429
125 327 968
534 448 -177
52 602 -320
490 575 994
485 732 570
23 832 171
924 625 -3
24 781 51
82 269 118
746 881 820
310 668 962
329 695 -634
116 779 -995
101 735 703
201 650 -361
532 252 828
274 260 571
232 508 635
788 890 -534
78 767 -350
869 283 646
145 808 270
322 591 -598
61 376 -432
883 430 716
434 471 -847
440 298 300
583 319 -257
397 307 -497
579 210 -799
769 748 -452
220 177 -140
98 586 -808
779 729 -979
880 272 334
112 33 -871
297 3 663
68 283 360
578 691 -607
805 812 580
710 435 -259
761 378 674
634 491 573
465 773 341
821 664 310
325 371 -505
863 269 658
37 386 340
173 475 372
876 352 391
444 721 -832
883 777 127
714 477 -553
441 327 55
686 322 690
631 312 -211
547 530 663
663 74 -950
640 169 -189
286 427 228
397 623 -816
64 871 -488
600 728 595
658 260 -370
270 664 -347
62 51 425
894 222 266
810 167 -737
365 922 -222
767 846 -8
388 417 -691
174 323 753
818 249 -452
131 171 656
708 137 856
610 187 214
32 218 -719
96 229 219
815 707 -132
640 29 -372
197 121 -373
930 781 457
893 525 675
638 675 -603
621 419 183
874 214 846
630 62 570
557 747 -521
280 414 -858
87 608 -226
80 77 582
763 672 968
394 340 246
797 287 -822
927 84 -548
152 595 -3
723 38 800
61 377 311
900 924 683
547 581 482
728 509 -605
596 466 344
650 736 -655
691 704 421
137 61 708
665 397 698
423 763 96
344 322 733
934 190 649
457 427 -273
659 745 716
133 752 161
592 870 168
629 897 -887
445 120 -152
473 544 -573
651 472 41
657 383 -154
695 645 -396
930 348 -357
874 864 -582
925 315 391
357 281 838
101 526 769
156 361 -492
200 534 859
382 336 852
649 618 -951
734 503 -441
477 659 883
14 144 131
512 387 810
308 621 831
230 271 -824
193 739 -204
269 337 -153
545 378 433
493 766 -986
717 807 394
706 220 -678
886 592 -2
12 934 -953
813 296 -949
796 180 265
185 219 -225
448 213 -221
233 109 176
